Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-11-20,ASA,655,ABQ,SEA,Main,B7,Main,N6,false,,2024-11-20T08:15,2024-11-20T08:05,,,,,2024-11-20T10:39,2024-11-20T10:34,Boeing 737-800,,NMQPBD,19B,MIDDLE,ECONOMY,,,d63b78a2-fe4a-48a3-af40-31893545a39b,45411282-5411-46ac-89ce-720ab9efe700,7b925806-8601-400f-bd02-c38802c531b8,b3f217fd-4bc7-4806-9efe-abe9446a74df,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-12-05,DAL,197,SEA,ICN,Main,S15,2,239,false,,2024-12-05T10:40,2024-12-05T11:07,,,,,2024-12-06T16:15,2024-12-06T16:32,Airbus A330-900neo,,HNZA2L,52G,AISLE,,,,5368fb15-3dc4-4735-b006-896794caf8d5,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2024-12-08,CCA,126,ICN,PEK,1,36,3,B,false,,2024-12-08T17:50,2024-12-08T17:56,,,,,2024-12-08T19:00,,Airbus A321,,,21B,MIDDLE,ECONOMY,,,4ad8a8ff-a635-443c-acb7-e0a9d5712d0d,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,fa495023-95f7-46c7-abf5-69a5f2120d69,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-12-11,CHH,7235,PEK,CSX,2,26,2,,false,,2024-12-11T09:15,2024-12-11T09:03,,,,,2024-12-11T11:55,2024-12-11T11:46,Boeing 737 MAX 8,,,46C,AISLE,,,,2e09e269-ee79-4dff-96d1-f81a62853971,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,fa495023-95f7-46c7-abf5-69a5f2120d69,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-12-14,CSN,3717,CSX,PKX,2,25,,,false,,2024-12-14T09:30,,,,,,2024-12-14T12:00,,Airbus A321,,,,,,,,8331b358-0f45-4723-b1be-64c2a597f2b4,255d4d33-d2aa-4a84-bc7d-0613c507151f,86baea5b-ada7-4048-b0f9-e647cf3e2e15,76da187a-7889-4514-8d64-0e569b6cb0d1,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-12-24,CCA,867,PEK,SZX,3,C60,,,false,,2024-12-24T18:30,,,,,,2024-12-24T21:45,,Airbus A350-900,,PG7K28,12H,AISLE,BUSINESS,,,9fdd3283-c75b-4c51-b9bb-697f4a3f7deb,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,fe67fc1f-8483-4796-891a-81a54515c216,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-01-02,THY,401,IST,LED,,A4F,1,,false,,2025-01-02T09:00,,,,,,2025-01-02T12:50,2025-01-02T12:36,Airbus A321,,SACYHB,17C,AISLE,ECONOMY,,,2d9b3f05-d20f-46f1-95e1-8815b524676f,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,3829147c-c4b7-4baf-80ea-d21aed576344,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2025-01-06,AFL,6025,LED,VKO,1,7,A,,false,,2025-01-06T12:00,2025-01-06T12:03,,,,,2025-01-06T13:45,,Sukhoi Superjet 100-95,,1CB77Z,15A,WINDOW,,,,515d27af-46a9-4ac6-a751-93175efb3372,5f86a325-9ecc-48fc-b50d-39905276f356,3829147c-c4b7-4baf-80ea-d21aed576344,2963c7a4-427f-44a9-b937-73e6e6cdc08c,,4867d73a-8adc-4868-8a11-08bd18783a90
2025-01-11,SVR,783,DME,IST,,E20,,,false,,2025-01-11T09:45,,,,,,2025-01-11T15:10,,Airbus A321,,1CBB3S,18C,AISLE,ECONOMY,,,ee0711b5-5b8f-4cfe-89b0-af1f73c17f90,7ddde8d4-904c-4424-b9e8-47309ac3cc32,c21c10c9-ff23-493c-a73a-3451327b6116,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2025-01-12,THY,203,IST,SEA,,F8,Main,S9,false,,2025-01-12T15:20,,,,,,2025-01-12T17:05,,Airbus A350-900,,US2PP2,30H,AISLE,ECONOMY,,,33d351ff-1da5-44d1-8879-e9e5f1a5cd44,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,b3f217fd-4bc7-4806-9efe-abe9446a74df,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-03-17,DAL,562,SEA,ATL,Main,B15,S,B12,false,,2025-03-17T08:45,2025-03-17T08:57,,,,,2025-03-17T16:33,2025-03-17T16:08,Boeing 737-900ER,,HV5RUM,28E,MIDDLE,,,,9ec1ea28-256d-4be2-a2ff-4128e033581f,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,6f0c1d11-cfef-4b33-b462-90379270f593,,24012541-435d-4a27-af8a-4791336f1965
2025-03-17,DAL,105,ATL,GRU,S,F4,3,316,false,,2025-03-17T19:15,2025-03-17T19:15,,,,,2025-03-18T05:40,2025-03-18T05:45,Airbus A330-900neo,,HV5RUM,46B,,,,,e8b27092-c776-4efc-a21e-ba661756d1be,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,788679a4-3bf1-4f66-813f-da6c93e90b76,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2025-03-18,DAL,6117,GRU,MAO,2,,,,false,,2025-03-18T07:55,2025-03-18T08:08,,,,,2025-03-18T10:45,2025-03-18T11:07,Airbus A321,,HV5RUM,28C,AISLE,ECONOMY,,,46b70679-dccf-4eec-980e-8a2119641190,a8765091-d043-44b1-936c-d217bb519e56,788679a4-3bf1-4f66-813f-da6c93e90b76,a59fdd4a-2dbe-4d2d-80ca-75653f9cf6db,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2025-03-21,LAN,3621,MAO,GRU,,,2,,false,,2025-03-21T11:30,2025-03-21T11:42,,,,,2025-03-21T16:30,2025-03-21T16:37,Airbus A321,,LIYBKE,38F,,ECONOMY,,,629b7ce6-3dc6-4d5b-a494-1f81db2fcfbd,ce84921d-eb9e-4443-8925-a9923a70dcd1,a59fdd4a-2dbe-4d2d-80ca-75653f9cf6db,788679a4-3bf1-4f66-813f-da6c93e90b76,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2025-03-21,LAN,3874,GRU,GIG,2,,2,B26,false,,2025-03-21T17:45,2025-03-21T17:46,,,,,2025-03-21T18:50,2025-03-21T18:44,Airbus A321neo,,LIYBKE,,,,,,247e3e5f-a10b-4a6b-a2a5-a858b9494bfc,ce84921d-eb9e-4443-8925-a9923a70dcd1,788679a4-3bf1-4f66-813f-da6c93e90b76,df6b6b5c-3ef2-4fe0-90ba-5242e38ad169,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-03-25,GLO,1657,GIG,CGH,2,B35,,,false,,2025-03-25T12:00,2025-03-25T12:27,,,,,2025-03-25T13:20,,Boeing 737 MAX 8,,QGJHZS,24A,WINDOW,ECONOMY,,,de2be853-31a5-490d-b9be-fc3206091f72,21293d78-931b-4027-96da-4aa08675827f,df6b6b5c-3ef2-4fe0-90ba-5242e38ad169,1b080191-b99c-4cd9-a3e7-02f90971646f,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-03-27,DAL,270,GRU,ATL,3,302,I,E12,false,,2025-03-27T10:40,2025-03-27T10:36,,,,,2025-03-27T19:30,2025-03-27T19:39,Airbus A330-900neo,,HV5RUM,55B,,,,,6b12d3bd-ce2f-4fcb-ba6a-0336f240f5ee,a8765091-d043-44b1-936c-d217bb519e56,788679a4-3bf1-4f66-813f-da6c93e90b76,6f0c1d11-cfef-4b33-b462-90379270f593,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2025-03-27,DAL,903,ATL,SEA,S,B14,Main,A13,false,,2025-03-27T21:19,2025-03-27T21:13,,,,,2025-03-27T23:56,2025-03-27T23:22,Boeing 737-900ER,,HV5RUM,25A,WINDOW,,,,eddadf2c-5028-40c5-bfc4-93bf650f2202,a8765091-d043-44b1-936c-d217bb519e56,6f0c1d11-cfef-4b33-b462-90379270f593,b3f217fd-4bc7-4806-9efe-abe9446a74df,,24012541-435d-4a27-af8a-4791336f1965
2025-05-09,ASA,1168,SEA,BUR,Main,N3,B,B4,false,,2025-05-09T19:29,2025-05-09T19:17,,,,,2025-05-09T21:58,2025-05-09T22:09,Boeing 737-900ER,,AZXBHT,,,,,,ed377993-6610-4d19-8b53-df181166a055,45411282-5411-46ac-89ce-720ab9efe700,b3f217fd-4bc7-4806-9efe-abe9446a74df,68a544cc-be9c-4fd2-a790-ab622f58af65,,24012541-435d-4a27-af8a-4791336f1965
2025-05-12,ASA,1317,LAX,SEA,6,64A,Main,N3,false,,2025-05-12T09:00,2025-05-12T09:03,,,,,2025-05-12T11:53,2025-05-12T11:54,Boeing 737-800,,AZXBHT,3A,WINDOW,BUSINESS,LEISURE,,0aacf12d-789a-4d79-a14b-487122e47018,45411282-5411-46ac-89ce-720ab9efe700,25b8d712-9888-423f-868d-b25f1d184aaf,b3f217fd-4bc7-4806-9efe-abe9446a74df,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-15,AFR,337,SEA,CDG,Main,S9,2E,,false,,2025-06-15T13:30,2025-06-15T14:06,,,,,2025-06-16T08:05,2025-06-16T08:47,Airbus A350-900,,Y3HJXP,49H,AISLE,ECONOMY,,,8947956c-dc30-4789-83db-2ea2494c2540,ef3b3deb-e992-48e8-b4b6-ce96bb96be5c,b3f217fd-4bc7-4806-9efe-abe9446a74df,065a1318-77b6-4f77-98ce-95b9253f64a5,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-06-19,CCM,783,ORY,BIA,3,C14,1,,false,,2025-06-19T13:10,2025-06-19T13:14,,,,,2025-06-19T14:45,2025-06-19T14:48,Airbus A320neo,,YRQQ9Y,1E,MIDDLE,ECONOMY,,,931fa796-af66-475b-b3ec-7807b111c7d1,7f13a4a0-32e9-45f0-a1f9-9259127d1acd,8c066cc3-112d-4bcf-8483-e965888e358a,3ee8e9ed-1e5f-437b-b3f2-0def31f60be6,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-06-23,CCM,204,BIA,NCE,1,,2,,false,,2025-06-23T15:05,2025-06-23T14:53,,,,,2025-06-23T15:55,2025-06-23T15:48,ATR 72,,ZQ3FU3,15A,WINDOW,,,,4eed32e2-e707-4efe-a659-e30547416285,7f13a4a0-32e9-45f0-a1f9-9259127d1acd,3ee8e9ed-1e5f-437b-b3f2-0def31f60be6,a2d5a3c5-791c-435d-8ff4-26072d77f630,,00069458-a1cb-42ac-889d-8c259cc8e679
2025-06-25,QTR,56,NCE,DOH,1,,,,false,,2025-06-25T15:55,2025-06-25T15:57,,,,,2025-06-25T23:00,2025-06-25T23:09,Airbus A350-900,,9Y3D8V,,,,,,9e987839-0dc7-4281-898e-9ecc754cdbc0,bbe2cc40-79ca-446a-8105-cbb932b064f0,a2d5a3c5-791c-435d-8ff4-26072d77f630,570ae63e-c342-4fdb-b344-554184c13f1b,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-06-26,RWD,303,DOH,KGL,HIA,C89,MAIN,,false,,2025-06-26T08:45,2025-06-26T09:03,,,,,2025-06-26T13:45,2025-06-26T14:02,Boeing 737-800,,9Y3D8V,,,,,,8609c689-ca5d-4cbe-b1d3-7681a6eb9016,c3aa964b-c1b6-4e0a-bf35-c63ba1a2f34e,570ae63e-c342-4fdb-b344-554184c13f1b,843ebd01-60b6-4ab8-9584-569c437b6521,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-30,KQA,473,KGL,NBO,,,1A,,false,,2025-06-30T13:50,2025-06-30T16:41,,,,,2025-06-30T16:20,2025-06-30T19:00,Boeing 737-800,,XGK8QD,18G,AISLE,ECONOMY,,,2ac12dc6-c6a5-4882-bb5d-64db91b2c24e,a90ab660-a9f7-429a-a38e-2fcfb77d22da,843ebd01-60b6-4ab8-9584-569c437b6521,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-07-01,JMA,8684,NBO,LAU,T1D,3,,,false,,2025-07-01T09:00,2025-07-01T09:10,,,,,2025-07-01T10:20,2025-07-01T10:14,DHC-8-400 Dash 8Q,,U6B12M,,,,,,b9d87224-b1fd-4a9f-b965-bc14ac9da5f3,737cc44f-1eff-4e65-8078-79d7d723fc81,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,1e2ae2fa-932c-4dba-9abe-7d878bb9e12a,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2025-07-04,JMA,8685,LAU,NBO,,,1D,,false,,2025-07-04T10:50,2025-07-04T10:46,,,,,2025-07-04T12:10,2025-07-04T12:03,DHC-8-400 Dash 8Q,,U6B12M,,,,,,0b64ff3a-f861-4f8d-aac5-72c79220b8fd,737cc44f-1eff-4e65-8078-79d7d723fc81,1e2ae2fa-932c-4dba-9abe-7d878bb9e12a,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2025-07-13,KQA,886,NBO,BKK,1A,11,MAIN,E8,false,,2025-07-13T23:59,2025-07-14T00:05,,,,,2025-07-14T13:30,2025-07-14T13:45,Boeing 787-8,,XGK8QD,,,,,,36ec93ab-fcce-48dd-972b-e1d7d74da1cc,a90ab660-a9f7-429a-a38e-2fcfb77d22da,1d57d488-de08-4ab4-aa8b-f9afce1fc64c,548d409f-68f7-4450-aaaf-87133919af6d,,4f948d40-962a-4fdf-b1d9-424282d24f76
2025-07-14,KQA,886,BKK,CAN,MAIN,E8,2,,false,,2025-07-14T15:05,2025-07-14T14:35,,,,,2025-07-14T19:00,2025-07-14T18:48,Boeing 787-8,,XGK8QD,,,,,,ee9d21e9-d358-40df-b0ed-27b005a3f404,a90ab660-a9f7-429a-a38e-2fcfb77d22da,548d409f-68f7-4450-aaaf-87133919af6d,7436d9ad-c589-49cb-9578-7762e8598fdc,,4f948d40-962a-4fdf-b1d9-424282d24f76
2025-07-20,DKH,1519,CSX,KIX,T2,45,T1N,3,false,,2025-07-20T11:15,2025-07-20T11:18,,,,,2025-07-20T15:30,2025-07-20T15:50,Airbus A320,,QTPJ7G,,,,,,cefa2823-de44-464d-a8ec-6e8b30712e60,cbeaaa98-f2c0-4ac1-893b-39f7d27cb121,86baea5b-ada7-4048-b0f9-e647cf3e2e15,05f38441-6e21-4f4f-8b90-f6ff8be5f037,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-07-25,JAL,112,ITM,HND,,17,1,,false,,2025-07-25T10:25,2025-07-25T10:23,,,,,2025-07-25T11:40,2025-07-25T11:36,Boeing 767-300,,FPVO5Y,,,,,,781061f0-d872-43ce-8a72-c010be612341,646d4d03-db09-45ee-8330-6af7d6dc61cd,9515bad4-7441-48ae-9d7d-8d477a4f1097,deceac13-5547-4a5a-9877-06e35ae80304,,3e31e7b6-cfc1-4a82-b88b-bbb8ecad73c3
2025-07-26,AUA,52,NRT,VIE,T1S,36,T3,G11,false,,2025-07-26T11:10,2025-07-26T11:14,,,,,2025-07-26T18:20,2025-07-26T17:53,Boeing 777-200 ER,,W6DU86,39C,AISLE,,,,3174dc9d-9591-4025-8e08-906cd78c15c6,0d13df5d-f81a-4d94-9f98-53be6b16cb8f,42cbe764-fc30-49b0-9e72-eca5f6c21767,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,,a0f171e1-86df-426a-8922-e460c0660ae6
2025-08-02,SWR,1583,VIE,ZRH,T3,F22,T1,,false,,2025-08-02T20:15,2025-08-02T21:24,,,,,2025-08-02T21:35,2025-08-02T22:36,Embraer 195 E2,,W6DU86,30A,,,,,7898fa25-478b-433c-b908-c1138bb35709,95ece959-d516-44be-a77e-9e82037886eb,f14d8bd3-c692-4468-a9c2-7c89ab7a4ce4,a0039222-c7e3-46d5-b5a6-26fca3d8864b,,0bcde7c7-cf84-4d0a-878d-0b6d7908d469
2025-08-03,SIA,345,ZRH,SIN,2,E56,3,B6,false,,2025-08-03T11:45,2025-08-03T11:54,,,,,2025-08-04T05:55,2025-08-04T06:28,Boeing 777-300 ER,,W6DU86,,,,,,66c4bbcf-ba61-4e23-b25f-cdb8576615a7,30242dfb-68a4-4ee8-8055-f967ba273f38,a0039222-c7e3-46d5-b5a6-26fca3d8864b,0408c509-a410-4361-806b-eebecfea9bc1,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-08-08,CPA,652,SIN,HKG,T4,G18,T1,,false,,2025-08-08T12:45,2025-08-08T13:49,,,,,2025-08-08T17:00,2025-08-08T18:01,Airbus A330-300,,FFAFQN,,,,,,74511e7c-d612-497f-92bd-1c70db679ed4,8508d82c-f03a-4c99-88d8-46ede5aceb6d,0408c509-a410-4361-806b-eebecfea9bc1,7da61aa8-3d56-411b-8be5-50a198e86c60,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2025-08-08,CPA,988,HKG,CAN,T1,13,T2,,false,,2025-08-08T20:00,2025-08-08T19:58,,,,,2025-08-08T21:05,2025-08-08T20:58,Airbus A321neo,,FFAFQN,,,,,,29846fb4-27d0-4c83-b746-751f3bea37ed,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,7436d9ad-c589-49cb-9578-7762e8598fdc,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-08-13,CHH,7318,CSX,HAK,T2,39,T2,,false,,2025-08-13T11:30,2025-08-13T11:36,,,,,2025-08-13T13:40,2025-08-13T13:58,Boeing 737-800,,CHP5ZP,,,,,,115182b4-dabd-455a-8484-df3f7d3cf3bb,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,86baea5b-ada7-4048-b0f9-e647cf3e2e15,82f5f4eb-7462-4690-abbd-773293d26368,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-08-13,CHH,721,HAK,BKK,T2,46,MAIN,E10,false,,2025-08-13T16:45,2025-08-13T16:34,,,,,2025-08-13T18:15,2025-08-13T17:44,Boeing 737 MAX 8,,CHP5ZP,,,,,,8422f4b7-b5e6-430f-b0c6-7e745e19e733,0f72443f-2b6b-46d8-92f7-94f57e6c4bea,82f5f4eb-7462-4690-abbd-773293d26368,548d409f-68f7-4450-aaaf-87133919af6d,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-08-18,AIQ,3223,DMK,KBV,2,31,,,false,,2025-08-18T14:15,2025-08-18T14:24,,,,,2025-08-18T15:35,2025-08-18T15:31,Airbus A320,,HE3PVQ,,,,,,cc41fa95-815b-4f69-8762-55246d76fe73,49f5be2c-d4c1-4371-a45b-4ec4aabd7011,99e501ce-1da8-427e-b685-4f54c4a1a6ee,e8c50bb1-a8e6-4e68-ba81-414d7f443bc6,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-08-22,AIQ,3224,KBV,DMK,,6,2,,false,,2025-08-22T16:10,2025-08-22T16:08,,,,,2025-08-22T17:35,2025-08-22T17:22,Airbus A320,,UYUT5Z,,,,,,1254031c-5ed7-47fc-82ac-74f9e9c84d9c,49f5be2c-d4c1-4371-a45b-4ec4aabd7011,e8c50bb1-a8e6-4e68-ba81-414d7f443bc6,99e501ce-1da8-427e-b685-4f54c4a1a6ee,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-08-23,TLM,934,DMK,CSX,T1,12,T2,,false,,2025-08-23T09:20,2025-08-23T09:25,,,,,2025-08-23T13:35,2025-08-23T13:44,Boeing 737-800,,WKRGTG,,,,,,0657d3aa-43ca-42e0-81b5-abd89ce32be5,ee625d9e-cb1d-44ba-b7e0-98b57f172e28,99e501ce-1da8-427e-b685-4f54c4a1a6ee,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-08-26,CPA,161,HKG,SYD,T1,63,T1,34,false,,2025-08-26T21:35,2025-08-26T21:36,,,,,2025-08-27T08:40,2025-08-27T08:21,Boeing 777-300 ER,,D8J6U3,12A,WINDOW,BUSINESS,,,5f058b9d-5e9c-4fbe-9640-c045c3249c56,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,958827d6-30b4-4f21-9da2-e2e5c43635d0,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-09-01,VOZ,870,SYD,MEL,T2,A38,T3,12,false,,2025-09-01T17:30,2025-09-01T18:29,,,,,2025-09-01T19:05,2025-09-01T20:13,Boeing 737-800,,GKXWTJ,19A,WINDOW,,,,2ffdbcf6-cbb5-4cfc-bcb1-f09a9be88efd,2b596251-7ba3-4470-a4bf-845085839443,958827d6-30b4-4f21-9da2-e2e5c43635d0,abdb643a-f7ba-4564-a003-40b64a7a01b2,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-09-03,VOZ,95,MEL,DPS,2,2,I,GATE,false,,2025-09-03T17:35,2025-09-03T18:00,,,,,2025-09-03T22:00,2025-09-03T22:17,Boeing 737 MAX 8,,GKXWTJ,,,,,,6f563701-580e-4f32-88b1-34f62377393e,2b596251-7ba3-4470-a4bf-845085839443,abdb643a-f7ba-4564-a003-40b64a7a01b2,1894a933-e86f-4202-8ba9-fd44f73ae562,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-09-12,WON,1884,DPS,WGP,D,D3,MAIN,,false,,2025-09-12T14:40,2025-09-12T15:08,,,,,2025-09-12T16:30,2025-09-12T16:34,ATR 72,,WYPJPR,,,,,,6079d65f-4218-4145-bba2-d20b9144768d,469a2cea-7bea-4186-865d-035d4709d3dc,1894a933-e86f-4202-8ba9-fd44f73ae562,18753077-e379-4aae-abda-c808ddbdf379,,00069458-a1cb-42ac-889d-8c259cc8e679
2025-09-15,LKN,641,TMC,DPS,,,D,,false,,2025-09-15T16:40,,,,,,2025-09-15T17:40,2025-09-15T17:42,Boeing 737-500,,FJEQNG,18A,,ECONOMY,,,8ead1def-8f02-4e2c-80b3-70be9f73d875,36c19c94-a8ea-4c01-ae0b-1a862f245a77,05a2512c-3637-4be8-b4c1-666182afe6e9,1894a933-e86f-4202-8ba9-fd44f73ae562,,0dbe6bac-b2f4-4397-a84d-b7fed6cbf6d8
2025-09-21,BTK,6527,LBJ,CGK,,,2,,false,,2025-09-21T17:45,,,,,,2025-09-21T19:10,,Airbus A320,,,,,,,,ab4695da-82f9-4d77-a77c-f705397748f0,b464878b-3458-4e4c-97a5-7c384d7e339f,84aebd06-3fd8-4a89-8db3-30b5a73bdcab,54e67e4a-41d4-438f-b7c9-a0054d50081c,,dd390a1f-e92a-4411-ab72-04db16d42030
2025-09-22,QTR,955,CGK,DOH,T3,8,HIA,,false,,2025-09-22T00:55,2025-09-22T00:55,,,,,2025-09-22T05:20,2025-09-22T04:49,Airbus A350-900,,9GY59A,2A,WINDOW,BUSINESS,,,ffe1baa7-8154-4ba1-98e5-a6d68484fc3e,bbe2cc40-79ca-446a-8105-cbb932b064f0,54e67e4a-41d4-438f-b7c9-a0054d50081c,570ae63e-c342-4fdb-b344-554184c13f1b,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-09-22,QTR,719,DOH,SEA,HIA,E7,MAIN,S10,false,,2025-09-22T08:05,2025-09-22T11:18,,,,,2025-09-22T12:45,2025-09-22T16:39,Boeing 777-300 ER,,9GY59A,8A,WINDOW,BUSINESS,,,39942a32-00db-448a-b841-1610b5320e9f,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,b3f217fd-4bc7-4806-9efe-abe9446a74df,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-11-02,DAL,281,SEA,PVG,Main,,1,,false,,2025-11-02T10:15,,,,,,2025-11-03T15:50,,Airbus A330-900neo,,,,,,,,790cb6b1-7bc7-44ba-ba85-b81037d6c7ad,a8765091-d043-44b1-936c-d217bb519e56,b3f217fd-4bc7-4806-9efe-abe9446a74df,94ecd389-4c82-477f-8502-261c27f5b6fa,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2025-11-10,DAL,280,PVG,SEA,1,,Main,,false,,2025-11-10T18:00,,,,,,2025-11-10T12:50,,Airbus A330-900neo,,,,,,,,5b575025-0e92-4096-97dd-1e8b522c6e1b,a8765091-d043-44b1-936c-d217bb519e56,94ecd389-4c82-477f-8502-261c27f5b6fa,b3f217fd-4bc7-4806-9efe-abe9446a74df,,5b8cd90f-0c27-41d1-a4de-e80184085fd2
2025-09-16,BTK,6631,DPS,LBJ,,6,,,false,,2025-09-16T11:45,,,,,,2025-09-16T12:55,,Airbus A320,,,,,,,,,b464878b-3458-4e4c-97a5-7c384d7e339f,1894a933-e86f-4202-8ba9-fd44f73ae562,84aebd06-3fd8-4a89-8db3-30b5a73bdcab,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
