Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-03-06,QTR,1427,DOH,ADD,,C54,2,,false,,2024-03-06T19:30,2024-03-06T19:45,,,,,2024-03-07T00:05,2024-03-07T00:11,Airbus A320,,,,,,,,551471d9-78c0-4422-b325-e86ccc3e1ab4,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,4db79b60-8ce9-4cbc-b1c3-cd3a68675c0c,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-03-09,ETH,160,ADD,MQX,1,,,,false,,2024-03-09T07:15,,,,,,2024-03-09T08:30,,Boeing 737-800,,,,,,,,ef8404b8-f921-4b30-94ae-e47c5a2a973d,b510dd1e-6789-47c5-9b06-50e46c82b74a,4db79b60-8ce9-4cbc-b1c3-cd3a68675c0c,125e2c0e-5478-44ad-8755-086ff67f6718,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-03-13,ETH,285,SHC,ADD,,,1,,false,,2024-03-13T16:55,,,,,,2024-03-13T18:20,,Boeing 737-800,,,,,,,,4ae8959e-13ed-4fd1-a88e-e1835660f62c,b510dd1e-6789-47c5-9b06-50e46c82b74a,db09d04b-be7b-4441-9f27-cc1358e15ed9,4db79b60-8ce9-4cbc-b1c3-cd3a68675c0c,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-03-19,QTR,1428,ADD,DOH,2,,,,false,,2024-03-19T01:35,2024-03-19T01:23,,,,,2024-03-19T06:10,2024-03-19T05:47,Boeing 777-300 ER,,,17D,,ECONOMY,,,079d625b-997a-445a-8860-06aecacaa6ab,bbe2cc40-79ca-446a-8105-cbb932b064f0,4db79b60-8ce9-4cbc-b1c3-cd3a68675c0c,570ae63e-c342-4fdb-b344-554184c13f1b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-03-19,AAL,121,DOH,PHL,,C4,A,A21,false,,2024-03-19T07:45,2024-03-19T07:55,,,,,2024-03-19T15:21,2024-03-19T15:43,Boeing 787-9,,,,,,,,dd3242e7-d7a5-4e13-8af9-eb258d22ac9e,ae1fc6a5-c42d-4e70-ba63-d641d248d270,570ae63e-c342-4fdb-b344-554184c13f1b,a0d1ae30-2637-4b7c-87bd-91e31dc37468,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-03-19,AAL,5338,PHL,JAX,F,F3,Main,C3,false,,2024-03-19T18:39,2024-03-19T18:34,,,,,2024-03-19T21:01,2024-03-19T20:42,"Bombardier CRJ900 ",,,,,,,,b8fa77dd-0d40-4429-bddd-eaeb54955448,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a0d1ae30-2637-4b7c-87bd-91e31dc37468,a768b9ea-0e2d-488a-bb17-a144e4d10dc2,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2024-03-23,AAL,5722,GNV,CLT,Main,4,Main,E37,false,,2024-03-23T11:34,2024-03-23T11:38,,,,,2024-03-23T13:14,2024-03-23T13:15,Embraer RJ145,,,,,,,,37e57255-6666-4701-a7de-260114d02965,ae1fc6a5-c42d-4e70-ba63-d641d248d270,6c88208f-349f-4c98-9203-7d1495191293,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,6358f527-1221-47d3-9170-26351f84ac05
2024-03-23,AAL,506,CLT,SEA,Main,C6,Main,D7,false,,2024-03-23T16:21,2024-03-23T16:30,,,,,2024-03-23T19:16,2024-03-23T19:14,Airbus A321,,,,,,,,d2604238-590c-4804-be3e-8e11ceb946fb,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,b3f217fd-4bc7-4806-9efe-abe9446a74df,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2024-05-30,QTR,720,SEA,DOH,Main,S12,,,false,,2024-05-30T16:30,2024-05-30T16:32,,,,,2024-05-31T16:50,2024-05-31T17:07,Boeing 777-300 ER,,,,,,,,d4e3e427-197e-4b5e-bbc5-9c214cfe423b,bbe2cc40-79ca-446a-8105-cbb932b064f0,b3f217fd-4bc7-4806-9efe-abe9446a74df,570ae63e-c342-4fdb-b344-554184c13f1b,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-05-31,QTR,958,DOH,CGK,,C23,3,,false,,2024-05-31T18:50,2024-05-31T19:06,,,,,2024-06-01T07:40,2024-06-01T07:44,Airbus A350-900,,,,,,,,93d68ca5-9d0c-4786-9e10-18f79dcf2571,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,54e67e4a-41d4-438f-b7c9-a0054d50081c,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-06-03,BTK,7366,CGK,SOC,2,,,,true,,2024-06-03T12:00,,,,,,2024-06-03T13:15,,Airbus A320,,,,,,,,62008f83-4b16-4926-b3cc-91b0504f4ff2,b464878b-3458-4e4c-97a5-7c384d7e339f,54e67e4a-41d4-438f-b7c9-a0054d50081c,ac637df2-fd11-4c4f-a92f-08dacaa14d56,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2024-06-03,BTK,7362,CGK,SOC,2,D3,,,false,,2024-06-03T14:15,2024-06-03T14:31,,,,,2024-06-03T15:30,,Airbus A320,,,,,,,,36e2da82-270d-4531-8a56-31e5dcc58dfa,b464878b-3458-4e4c-97a5-7c384d7e339f,54e67e4a-41d4-438f-b7c9-a0054d50081c,ac637df2-fd11-4c4f-a92f-08dacaa14d56,,dd390a1f-e92a-4411-ab72-04db16d42030
